symbol,name,theme,bucket,priority,market,sector,asset_type,is_topix500,is_jpx_prime150,is_growth250,is_jpx_startup100,source_detail,source_url
4684.T,オービック,Japan Quality / Prime 150,Core,A,Prime/TOPIX,情報・通信業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4689.T,ＬＩＮＥヤフー,Japan Quality / Prime 150,Core,A,Prime/TOPIX,情報・通信業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4704.T,トレンドマイクロ,Japan TOPIX 500,Core,A,Prime/TOPIX,情報・通信業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4716.T,日本オラクル,Japan TOPIX 500,Core,A,Prime/TOPIX,情報・通信業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4732.T,ユー・エス・エス,Japan Quality / Prime 150,Core,A,Prime/TOPIX,サービス業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4733.T,オービックビジネスコンサルタント,Japan TOPIX 500,Core,A,Prime/TOPIX,情報・通信業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4751.T,サイバーエージェント,Japan TOPIX 500,Core,A,Prime/TOPIX,サービス業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4755.T,楽天グループ,Japan TOPIX 500,Core,A,Prime/TOPIX,サービス業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4768.T,大塚商会,Japan TOPIX 500,Core,A,Prime/TOPIX,情報・通信業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4812.T,電通総研,Japan Quality / Prime 150,Core,A,Prime,情報・通信業,equity,false,true,false,false,jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4887.T,サワイグループホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4901.T,富士フイルムホールディングス,Japan Quality / Prime 150,Core,A,Prime/TOPIX,化学,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4902.T,コニカミノルタ,Japan TOPIX 500,Core,A,Prime/TOPIX,電気機器,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4911.T,資生堂,Japan Quality / Prime 150,Core,A,Prime/TOPIX,化学,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4912.T,ライオン,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4922.T,コーセーホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4927.T,ポーラ・オルビスホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4967.T,小林製薬,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4980.T,デクセリアルズ,Japan Quality / Prime 150,Core,A,Prime/TOPIX,化学,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
