symbol,local_code,company_name,market,sector_33_code,sector_33_name,sector_17_code,sector_17_name,size_code,size_name,effective_date,source,updated_at
7438.T,7438,コンドーテック,プライム（内国株式）,6050,卸売業,0013,商社・卸売,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7442.T,7442,中山福,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7443.T,7443,横浜魚類,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7444.T,7444,ハリマ共和物産,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7446.T,7446,東北化学薬品,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7447.T,7447,ナガイレーベン,プライム（内国株式）,6050,卸売業,0013,商社・卸売,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7453.T,7453,良品計画,プライム（内国株式）,6100,小売業,0014,小売,0004,TOPIX Mid400,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7456.T,7456,松田産業,プライム（内国株式）,6050,卸売業,0013,商社・卸売,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7458.T,7458,第一興商,プライム（内国株式）,6050,卸売業,0013,商社・卸売,0004,TOPIX Mid400,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7459.T,7459,メディパルホールディングス,プライム（内国株式）,6050,卸売業,0013,商社・卸売,0004,TOPIX Mid400,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
